Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Apparel,35.0,150.0,5250,1838,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Apparel,40.0,150.0,6000,2100,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.0,150.0,6000,1800,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,30.0,150.0,4500,1350,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,150.0,5250,1575,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Men's Apparel,45.0,150.0,6750,2363,Online
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,45.0,150.0,6750,2025,Online
Sports Direct,1185732,2021-11-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,60.0,150.0,9000,3150,Online
Sports Direct,1185732,2021-04-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.0,150.0,4500,1350,Online
Sports Direct,1185732,2021-04-09,Midwest,North Dakota,Fargo,Women's Street Footwear,20.0,150.0,3000,900,Online
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Women's Athletic Footwear,30.0,150.0,4500,1350,In-store
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150.0,6000,2100,In-store
Sports Direct,1185732,2021-10-09,Midwest,North Dakota,Fargo,Women's Street Footwear,40.0,150.0,6000,1800,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Apparel,60.0,150.0,9000,3150,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150.0,6000,3000,In-store
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.0,150.0,4500,1575,In-store
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150.0,6000,3000,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Men's Apparel,30.0,150.0,4500,2250,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Apparel,45.0,150.0,6750,3375,In-store
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.0,150.0,3750,1125,In-store
Foot Locker,1185732,2021-09-07,Midwest,Iowa,Des Moines,Men's Apparel,35.0,150.0,5250,2625,In-store
Foot Locker,1185732,2021-10-06,Midwest,Iowa,Des Moines,Women's Street Footwear,35.0,150.0,5250,1575,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150.0,6000,3000,In-store
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.0,150.0,4500,1575,In-store
West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,40.0,150.0,6000,3000,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20.0,150.0,3000,1050,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.0,150.0,1500,450,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,35.0,150.0,5250,1575,In-store
West Gear,1185732,2021-09-04,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,150.0,3750,1125,In-store
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,30.0,150.0,4500,1575,In-store
West Gear,1185732,2021-09-11,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,25.0,150.0,3750,1313,In-store
West Gear,1185732,2021-09-11,Midwest,Indiana,Indianapolis,Men's Apparel,35.0,150.0,5250,1575,In-store
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,35.0,150.0,5250,1838,In-store
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,35.0,150.0,5250,1838,In-store
West Gear,1185732,2021-10-10,Midwest,Indiana,Indianapolis,Men's Apparel,45.0,150.0,6750,2025,In-store
West Gear,1185732,2021-01-17,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,30.0,150.0,4500,1800,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,35.0,150.0,5250,1838,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,150.0,6000,2100,In-store
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150.0,6000,2100,In-store
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Apparel,50.0,150.0,7500,2250,In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150.0,6000,2100,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150.0,6000,2100,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,50.0,150.0,7500,2625,In-store
Foot Locker,1185732,2021-02-15,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150.0,5250,2100,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150.0,5250,2100,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Apparel,50.0,150.0,7500,2250,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,150.0,6000,2400,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Apparel,50.0,150.0,7500,2250,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,150.0,7500,3000,In-store
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,35.0,150.0,5250,1575,In-store
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,50.0,150.0,7500,2250,In-store
Sports Direct,1185732,2021-10-05,Northeast,Connecticut,Hartford,Women's Athletic Footwear,55.0,150.0,8250,2475,In-store
Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Men's Athletic Footwear,35.0,150.0,5250,1838,In-store
Foot Locker,1185732,2021-05-06,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150.0,6000,2400,In-store
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Women's Athletic Footwear,40.0,150.0,6000,2400,In-store
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Apparel,50.0,150.0,7500,1875,In-store
Sports Direct,1185732,2021-02-15,Northeast,Rhode Island,Providence,Men's Athletic Footwear,40.0,150.0,6000,1800,In-store
Sports Direct,1185732,2021-02-15,Northeast,Massachusetts,Boston,Men's Apparel,50.0,150.0,7500,1875,In-store
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Men's Athletic Footwear,40.0,150.0,6000,1800,In-store
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Women's Street Footwear,30.0,150.0,4500,1125,In-store
Sports Direct,1185732,2021-08-14,Northeast,Massachusetts,Boston,Men's Apparel,55.0,150.0,8250,2063,In-store
Sports Direct,1185732,2021-09-13,Northeast,Massachusetts,Boston,Women's Street Footwear,45.0,150.0,6750,1688,In-store
Amazon,1185732,2021-02-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150.0,6000,2100,In-store
Amazon,1185732,2021-04-11,Northeast,Vermont,Burlington,Women's Athletic Footwear,40.0,150.0,6000,2100,In-store
Amazon,1185732,2021-04-11,Northeast,Vermont,Burlington,Men's Apparel,55.0,150.0,8250,2888,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,45.0,150.0,6750,2025,In-store
Foot Locker,1185732,2021-01-24,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,50.0,150.0,7500,1875,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,42.0,150.0,630,258,Online
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,47.0,150.0,705,296,Online
Foot Locker,1185732,2021-08-05,Midwest,Illinois,Chicago,Men's Street Footwear,57.0,150.0,855,470,Online
Sports Direct,1197831,2021-09-19,South,Texas,Dallas,Women's Athletic Footwear,43.0,150.0,645,393,Online
West Gear,1128299,2020-03-04,West,Nevada,Las Vegas,Men's Athletic Footwear,64.0,150.0,960,326,Online
West Gear,1128299,2020-03-14,West,Nevada,Las Vegas,Women's Apparel,74.0,150.0,1110,300,Online
West Gear,1128299,2020-04-16,West,Colorado,Denver,Women's Street Footwear,64.0,150.0,960,614,Online
West Gear,1128299,2020-05-14,West,Colorado,Denver,Men's Street Footwear,52.0,150.0,780,429,Online
West Gear,1128299,2020-05-15,West,Colorado,Denver,Men's Athletic Footwear,55.0,150.0,825,305,Online
West Gear,1128299,2020-08-05,West,Washington,Seattle,Women's Apparel,86.0,150.0,1290,439,Online
Kohl's,1189833,2021-01-21,Midwest,Montana,Billings,Men's Street Footwear,39.0,150.0,585,333,Online
Kohl's,1189833,2021-02-01,Midwest,Montana,Billings,Women's Apparel,55.0,150.0,825,297,Online
Sports Direct,1197831,2021-05-04,South,Tennessee,Knoxville,Men's Athletic Footwear,32.0,150.0,480,288,Online
Sports Direct,1197831,2021-09-23,South,Alabama,Birmingham,Women's Apparel,37.0,150.0,555,427,Online
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Women's Street Footwear,79.0,150.0,1185,427,Online
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,150.0,960,413,Online
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Street Footwear,48.0,150.0,720,274,Online
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Apparel,62.0,150.0,930,456,Online
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Athletic Footwear,53.0,150.0,795,342,Online
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Athletic Footwear,41.0,150.0,615,246,Online
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Apparel,59.0,150.0,885,416,Online
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,39.0,150.0,585,275,Online
Kohl's,1185732,2021-09-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,44.0,150.0,660,284,Online
Kohl's,1185732,2021-10-12,West,Wyoming,Cheyenne,Women's Apparel,55.0,150.0,825,305,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,82.0,150.0,1230,529,Online
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,150.0,345,148,Online
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Athletic Footwear,47.0,150.0,705,388,Online
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Women's Apparel,55.0,150.0,825,578,Online
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Street Footwear,34.0,150.0,510,260,Online
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Apparel,38.0,150.0,570,342,Online
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Women's Apparel,38.0,150.0,570,371,Online
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Apparel,97.0,150.0,1455,611,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Street Footwear,58.0,150.0,870,470,Online
Kohl's,1128299,2021-05-27,West,New Mexico,Albuquerque,Men's Street Footwear,51.0,150.0,765,344,Online
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,59.0,150.0,885,478,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Apparel,67.0,150.0,1005,352,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Street Footwear,54.0,150.0,810,373,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,29.0,150.0,435,196,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,38.0,150.0,570,308,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Apparel,46.0,150.0,690,338,Online
Sports Direct,1185732,2021-09-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,28.0,150.0,420,210,Online
Sports Direct,1185732,2021-10-04,Southeast,North Carolina,Charlotte,Women's Street Footwear,34.0,150.0,510,260,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,150.0,495,248,Online
Amazon,1185732,2021-06-11,Midwest,Ohio,Columbus,Men's Apparel,62.0,150.0,930,437,Online
Amazon,1185732,2021-08-10,Midwest,Ohio,Columbus,Women's Street Footwear,53.0,150.0,795,405,Online
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,59.0,150.0,885,425,Online
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Apparel,63.0,150.0,945,510,Online
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Street Footwear,27.0,150.0,405,203,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Apparel,70.0,150.0,1050,536,Online
West Gear,1197831,2021-09-19,South,Oklahoma,Oklahoma City,Men's Street Footwear,49.0,150.0,735,397,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Street Footwear,24.0,150.0,360,162,Online
Foot Locker,1197831,2021-12-12,Midwest,Kansas,Wichita,Men's Street Footwear,66.0,150.0,990,495,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Street Footwear,55.0,150.0,825,380,Online
West Gear,1185732,2021-12-09,Midwest,Indiana,Indianapolis,Men's Street Footwear,58.0,150.0,870,444,Online
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Men's Street Footwear,43.0,150.0,645,335,Online
Sports Direct,1185732,2021-04-04,Northeast,Connecticut,Hartford,Men's Street Footwear,36.0,150.0,540,270,Online
Foot Locker,1185732,2021-12-03,Northeast,Connecticut,Hartford,Men's Street Footwear,59.0,150.0,885,451,Online
Sports Direct,1185732,2021-07-13,Northeast,Massachusetts,Boston,Men's Street Footwear,52.0,150.0,780,328,Online
Amazon,1185732,2021-12-13,Northeast,Massachusetts,Boston,Men's Street Footwear,64.0,150.0,960,394,Online
Sports Direct,1197831,2021-09-14,South,Texas,Dallas,Men's Apparel,40.0,150.0,600,222,Outlet
Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,44.0,150.0,660,343,Outlet
West Gear,1128299,2020-02-11,West,Nevada,Las Vegas,Men's Apparel,47.0,150.0,705,416,Outlet
Sports Direct,1197831,2021-04-13,South,Tennessee,Knoxville,Men's Apparel,30.0,150.0,450,176,Outlet
Walmart,1128299,2021-09-18,Southeast,Florida,Orlando,Men's Athletic Footwear,45.0,150.0,675,209,Outlet
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Street Footwear,31.0,150.0,465,177,Outlet
Sports Direct,1128299,2021-12-25,West,New Mexico,Albuquerque,Women's Street Footwear,44.0,150.0,660,271,Outlet
Sports Direct,1128299,2021-02-13,West,New Mexico,Albuquerque,Men's Street Footwear,23.0,150.0,345,148,Outlet
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Street Footwear,42.0,150.0,630,265,Outlet
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Apparel,35.0,150.0,525,294,Outlet
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Men's Athletic Footwear,29.0,150.0,435,170,Outlet
Walmart,1185732,2021-07-16,South,Mississippi,Jackson,Men's Apparel,46.0,150.0,690,255,Outlet
Foot Locker,1185732,2021-05-06,Northeast,Rhode Island,Providence,Men's Street Footwear,39.0,150.0,585,240,Outlet
Foot Locker,1185732,2021-07-12,Midwest,Illinois,Chicago,Men's Street Footwear,49.0,149.0,730,372,Online
West Gear,1128299,2020-01-26,West,Nevada,Las Vegas,Men's Street Footwear,58.0,149.0,864,501,Online
West Gear,1128299,2020-07-19,West,Washington,Seattle,Men's Street Footwear,58.0,149.0,864,346,Online
Sports Direct,1197831,2021-05-18,South,Tennessee,Knoxville,Women's Athletic Footwear,54.0,149.0,805,555,Online
Sports Direct,1197831,2021-08-24,South,Alabama,Birmingham,Women's Apparel,20.0,149.0,298,224,Online
Foot Locker,1128299,2021-07-09,West,Hawaii,Honolulu,Men's Apparel,80.0,149.0,1192,358,Online
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Street Footwear,62.0,149.0,924,333,Online
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Athletic Footwear,69.0,149.0,1028,339,Online
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Apparel,52.0,149.0,775,372,Online
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Women's Street Footwear,27.0,149.0,402,181,Online
Kohl's,1185732,2021-04-11,West,Wyoming,Cheyenne,Women's Apparel,36.0,149.0,536,188,Online
Kohl's,1185732,2021-07-10,West,Wyoming,Cheyenne,Women's Street Footwear,38.0,149.0,566,272,Online
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Women's Athletic Footwear,82.0,149.0,1222,562,Online
Foot Locker,1128299,2021-11-24,Southeast,Virginia,Richmond,Women's Apparel,74.0,149.0,1103,441,Online
Sports Direct,1185732,2021-01-19,Southeast,Virginia,Richmond,Women's Street Footwear,23.0,149.0,343,137,Online
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Street Footwear,29.0,149.0,432,216,Online
West Gear,1128299,2021-11-24,West,Oregon,Portland,Women's Apparel,76.0,149.0,1132,476,Online
Kohl's,1128299,2021-06-26,West,New Mexico,Albuquerque,Women's Street Footwear,54.0,149.0,805,402,Online
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Men's Athletic Footwear,50.0,149.0,745,395,Online
Sports Direct,1185732,2021-10-04,Southeast,North Carolina,Charlotte,Men's Apparel,42.0,149.0,626,294,Online
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Street Footwear,23.0,149.0,343,168,Online
West Gear,1185732,2021-07-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,45.0,149.0,671,282,Online
West Gear,1185732,2021-07-09,Midwest,Indiana,Indianapolis,Men's Street Footwear,51.0,149.0,760,403,Online
West Gear,1185732,2021-02-17,Midwest,Indiana,Indianapolis,Men's Street Footwear,33.0,149.0,492,266,Online
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Men's Street Footwear,55.0,149.0,820,393,Online
Sports Direct,1185732,2021-02-05,Northeast,New Jersey,Newark,Men's Street Footwear,39.0,149.0,581,291,Online
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Men's Apparel,38.0,149.0,566,345,Outlet
Sports Direct,1197831,2021-09-01,South,Texas,Dallas,Women's Athletic Footwear,20.0,149.0,298,146,Outlet
Sports Direct,1197831,2021-10-02,South,Texas,Dallas,Men's Apparel,37.0,149.0,551,221,Outlet
West Gear,1128299,2020-03-15,West,Nevada,Las Vegas,Men's Street Footwear,20.0,149.0,298,119,Outlet
Sports Direct,1197831,2021-10-04,South,Alabama,Birmingham,Men's Apparel,37.0,149.0,551,265,Outlet
Sports Direct,1128299,2021-03-16,Southeast,Florida,Orlando,Women's Street Footwear,47.0,149.0,700,224,Outlet
Foot Locker,1128299,2021-09-25,Southeast,Virginia,Richmond,Men's Street Footwear,35.0,149.0,522,219,Outlet
West Gear,1185732,2021-02-11,West,Utah,Salt Lake City,Women's Apparel,18.0,149.0,268,148,Outlet
West Gear,1128299,2021-09-25,West,Oregon,Portland,Men's Street Footwear,34.0,149.0,507,187,Outlet
West Gear,1128299,2021-11-24,West,Oregon,Portland,Women's Athletic Footwear,39.0,149.0,581,238,Outlet
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Apparel,41.0,149.0,611,232,Outlet
Kohl's,1128299,2021-07-25,West,New Mexico,Albuquerque,Women's Athletic Footwear,39.0,149.0,581,244,Outlet
Kohl's,1128299,2021-11-26,West,New Mexico,Albuquerque,Women's Street Footwear,46.0,149.0,685,254,Outlet
Sports Direct,1128299,2021-01-13,West,New Mexico,Albuquerque,Men's Street Footwear,24.0,149.0,358,164,Outlet
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,42.0,149.0,626,282,Outlet
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Athletic Footwear,34.0,149.0,507,218,Outlet
Walmart,1197831,2021-06-21,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,149.0,373,145,Outlet
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Apparel,40.0,149.0,596,238,Outlet
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Street Footwear,43.0,149.0,641,282,Outlet
Kohl's,1197831,2021-12-19,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,47.0,149.0,700,266,Outlet
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Men's Street Footwear,51.0,149.0,760,327,Outlet
Foot Locker,1185732,2021-01-10,Northeast,Connecticut,Hartford,Men's Street Footwear,23.0,149.0,343,144,Outlet
Sports Direct,1185732,2021-04-14,Northeast,Massachusetts,Boston,Men's Street Footwear,28.0,149.0,417,138,Outlet
Amazon,1185732,2021-08-11,Northeast,Vermont,Burlington,Men's Athletic Footwear,43.0,149.0,641,333,Outlet
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,47.0,149.0,700,308,Outlet
Foot Locker,1185732,2021-11-18,Northeast,New Hampshire,Manchester,Men's Street Footwear,59.0,149.0,879,378,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,42.0,147.0,617,259,Online
Sports Direct,1197831,2021-08-16,South,Texas,Dallas,Women's Apparel,33.0,147.0,485,267,Online
Sports Direct,1197831,2021-09-25,South,Texas,Dallas,Women's Athletic Footwear,47.0,147.0,691,449,Online
Kohl's,1189833,2021-01-28,Midwest,Montana,Billings,Men's Athletic Footwear,42.0,147.0,617,253,Online
Sports Direct,1197831,2021-05-05,South,Tennessee,Knoxville,Women's Street Footwear,36.0,147.0,529,307,Online
Amazon,1185732,2021-12-21,Northeast,Maine,Portland,Men's Street Footwear,50.0,147.0,735,338,Online
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Men's Apparel,69.0,147.0,1014,274,Online
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Women's Street Footwear,53.0,147.0,779,319,Online
West Gear,1128299,2021-12-16,Southeast,Florida,Orlando,Men's Apparel,86.0,147.0,1264,442,Online
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Men's Athletic Footwear,43.0,147.0,632,284,Online
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Street Footwear,45.0,147.0,662,238,Online
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Women's Athletic Footwear,38.0,147.0,559,274,Online
West Gear,1128299,2021-03-16,South,Louisiana,New Orleans,Men's Street Footwear,44.0,147.0,647,330,Online
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Men's Street Footwear,47.0,147.0,691,325,Online
Foot Locker,1128299,2021-11-23,West,Arizona,Phoenix,Men's Athletic Footwear,46.0,147.0,676,352,Online
Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Street Footwear,33.0,147.0,485,238,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,54.0,147.0,794,405,Online
Amazon,1185732,2021-10-11,Midwest,Ohio,Columbus,Women's Apparel,38.0,147.0,559,352,Online
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,63.0,147.0,926,463,Online
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Street Footwear,48.0,147.0,706,367,Online
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Men's Athletic Footwear,42.0,147.0,617,278,Online
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Men's Athletic Footwear,47.0,147.0,691,311,Online
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Men's Street Footwear,46.0,147.0,676,331,Online
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Men's Street Footwear,54.0,147.0,794,333,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,34.0,147.0,500,240,Online
Foot Locker,1185732,2021-05-31,West,California,Los Angeles,Men's Street Footwear,36.0,147.0,529,238,Outlet
Sports Direct,1197831,2021-09-29,South,Alabama,Birmingham,Women's Apparel,26.0,147.0,382,275,Outlet
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Athletic Footwear,64.0,147.0,941,310,Outlet
Walmart,1128299,2021-11-17,Southeast,Florida,Orlando,Men's Apparel,58.0,147.0,853,230,Outlet
Foot Locker,1128299,2021-04-24,Southeast,Virginia,Richmond,Men's Street Footwear,38.0,147.0,559,207,Outlet
West Gear,1128299,2021-11-17,South,Louisiana,New Orleans,Men's Apparel,53.0,147.0,779,366,Outlet
West Gear,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Apparel,23.0,147.0,338,169,Outlet
Foot Locker,1197831,2021-12-04,West,Idaho,Boise,Men's Apparel,43.0,147.0,632,259,Outlet
Foot Locker,1128299,2021-06-23,West,Arizona,Phoenix,Women's Street Footwear,41.0,147.0,603,229,Outlet
Kohl's,1128299,2021-01-26,West,Arizona,Phoenix,Men's Athletic Footwear,30.0,147.0,441,207,Outlet
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Women's Street Footwear,39.0,147.0,573,241,Outlet
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Street Footwear,36.0,147.0,529,222,Outlet
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Apparel,22.0,147.0,323,171,Outlet
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Women's Athletic Footwear,32.0,147.0,470,198,Outlet
Kohl's,1185732,2021-11-11,West,Wyoming,Cheyenne,Women's Street Footwear,42.0,146.0,613,307,Online
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Street Footwear,57.0,146.0,832,350,Online
Foot Locker,1185732,2020-12-18,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.0,145.0,5800,1740,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,62.0,145.0,899,566,Online
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,49.0,145.0,711,469,Online
Sports Direct,1197831,2021-08-25,South,Texas,Dallas,Women's Street Footwear,28.0,145.0,406,191,Online
Sports Direct,1197831,2021-09-14,South,Texas,Dallas,Men's Apparel,45.0,145.0,653,281,Online
Sports Direct,1197831,2021-10-13,South,Texas,Dallas,Women's Athletic Footwear,59.0,145.0,856,530,Online
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60.0,145.0,870,583,Online
